config,source_article,logical_fallacies,text_vi
edu,"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy of extension,"Giáo sư Jones: ""Trường vừa cắt giảm 10.000 đô ngân sách hàng năm của chúng ta."" Giáo sư Smith: ""Chúng ta phải làm gì đây?"" Giáo sư Brown: ""Tôi nghĩ nên cắt giảm một vị trí trợ giảng là ổn."" Giáo sư Jones: ""Chúng ta có thể giảm mức tăng lương đã lên lịch."" Giáo sư Brown: ""Tôi không hiểu sao anh lại muốn vắt kiệt chúng ta như vậy, Jones."""
edu,uses irrelevant information or other techniques to distract from the argument at hand,fallacy of relevance,Sử dụng các thông tin không liên quan hoặc các chiêu trò khác để đánh lạc hướng khỏi luận điểm chính.
edu,"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food.",fallacy of logic,"Nếu Joe ăn đồ dầu mỡ, anh ấy sẽ thấy buồn nôn.
Joe thấy buồn nôn.
Vì vậy, Joe đã ăn đồ dầu mỡ."
edu,"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",fallacy of extension,"Sinh viên đó không muốn tham gia dọn dẹp bãi biển, rồi cố vấn của cô ấy lại bảo 'Tôi không thể tin là nó không tin vào biến đổi khí hậu'."
edu,"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy of credibility,"Thực phẩm chức năng này làm từ một loại cây ở Zambia, chắc chắn nó phải lành tính hơn mấy loại thuốc toàn hóa chất mà tôi còn chẳng đọc nổi tên."
edu,"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum,"Tôi biết Giáo sư chê 'Bridges of Madison County' là thứ rác rưởi sến súa, chẳng có giá trị nghệ thuật gì. Nhưng tôi vẫn thấy ông ấy sai. Suy cho cùng, nó đã nằm trong danh sách bán chạy suốt hơn 100 tuần cơ mà."
edu,Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,fallacy of extension,Những kẻ tin vào thuyết điều chỉnh hành vi rõ ràng là muốn kiểm soát tất cả mọi người thông qua việc thưởng phạt.
edu,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",fallacy of logic,"Nếu giảm thuế, tôi sẽ có nhiều tiền để tiêu hơn. Tôi đang có nhiều tiền để tiêu. Vậy nên, chắc chắn là thuế đã được giảm."
edu,"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",appeal to emotion,"Nếu không có ý chí tự do, chúng ta không thực sự làm chủ hành động của mình. Nếu điều này đúng, cả hệ thống tư pháp sẽ đổ bể hoàn toàn. Điều đó thật tồi tệ; vì vậy, ý chí tự do nhất định phải tồn tại."
edu,Students never used to have cell phones so they don't need them now.,fallacy of credibility,"Ngày xưa học sinh làm gì có điện thoại, nên bây giờ chúng cũng đâu có cần."
edu,All football players are dumb jocks.,faulty generalization,Mấy gã chơi bóng bầu dục thì đầu óc chỉ toàn bã đậu.
edu,"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",faulty generalization,Em họ tôi bảo lớp Toán của nó khó. Lớp tôi học cũng khó. Suy ra tất cả các lớp Toán đều khó.
edu,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad hominem,"Trong video tranh cử chủ tịch lớp, cậu ta gọi đối thủ là 'đồ nịnh hót, chỉ biết bợ đỡ giáo viên', việc đó khiến cậu ta bị truất quyền thi đấu là một ví dụ cho ngụy biện này."
edu,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
",intentional,"Jack: Tôi có mấy con kỳ lân tàng hình siêu nhỏ sống trong hậu môn của tôi đây này.
Nick: Sao bạn biết?
Jack: Bạn có chứng minh được là tôi không có không?
Nick: Không.
Jack: Thế thì tức là tôi có rồi nhé.
"
edu,Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad hominem,Gạt bỏ quan điểm của người khác về một vấn đề chỉ vì chính họ cũng không nhất quán với điều đó.
edu,Using the second amendment as justification to allow civilians to own nuclear submarines.,faulty generalization,Dùng Tu chính án thứ hai làm cái cớ để cho phép dân thường sở hữu cả tàu ngầm hạt nhân.
edu,"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",faulty generalization,"Não bạn cấu tạo từ các phân tử. Phân tử thì không tạo ra ý thức. Thế nên, não bạn không thể là nguồn gốc của ý thức được."
edu,"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!",intentional,"Ông “tiên tri” Nostradamus từng viết cách đây 500 năm:

Thú hoang đói khát sẽ băng qua những dòng sông,
Phần lớn cuộc chiến sẽ nhắm vào Hister.
Hắn sẽ lôi những bậc đại nhân vào lồng sắt,
Khi đứa con nước Đức chẳng còn tuân theo luật lệ nào.

Chắc chắn là ông ta phải có linh cảm gì đó về Hitler rồi!"
edu,"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",ad hominem,Bạn ăn chay á? Bạn có biết là Hitler cũng ăn chay không?
edu,An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.,ad populum,"Một bài báo ý kiến trên tờ báo trường cho rằng trong một cuộc khảo sát toàn trường, 95% sinh viên muốn giảm học phí, vì thế học phí nên được giảm ngay lập tức."
edu,"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",circular reasoning,"""Tôi là một lãnh đạo tuyệt vời vì tôi đưa ra những quyết định lãnh đạo tuyệt vời. Bằng chứng là tôi đưa ra những quyết định tuyệt vời vì tôi là một lãnh đạo tuyệt vời, và đó là điều một lãnh đạo làm."" Đây là lỗi gì nhỉ?"
edu,Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension,Thị trưởng Blake muốn làm thêm làn đường cho xe đạp ở Lowell. Tại sao ông ta lại ép chúng ta phải bỏ xe hơi để đi xe đạp khắp nơi chứ?
edu,You should give me a promotion. I have a lot of debt and am behind on my rent.,appeal to emotion,Sếp nên thăng chức cho tôi đi. Tôi đang nợ nần chồng chất và còn chưa đóng tiền thuê nhà đây này.
edu,All women care about are their looks.,faulty generalization,Phụ nữ thì chỉ quan tâm đến ngoại hình thôi.
edu,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false dilemma,"Hoặc là ủng hộ tịch thu súng, hoặc là để chính phủ cấp cho mỗi người một đầu đạn hạt nhân cá nhân, ông chọn cái nào?"
edu,"Either we go to war, or we appear weak",false dilemma,"Hoặc chúng ta xuất quân, hoặc là chúng ta tỏ ra yếu đuối."
edu,", tax relief instead of tax cut, or death tax instead of estate tax)",appeal to emotion,"Gọi là giảm thuế thay vì cắt giảm thuế, hay thuế tử thi thay vì thuế di sản"
edu,"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",faulty generalization,"Nếu dạy cho Anton cách lái xe ô tô, thì tới đây nó sẽ lại đòi học lái trực thăng đấy!"
edu,Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,circular reasoning,Sinh viên không nên được phép đỗ xe ở bãi dành cho giảng viên vì những bãi đó chỉ nên dành cho giảng viên thôi.
edu,Not tipping your waiter is like stealing money right out of someone's wallet.,fallacy of logic,Không boa cho bồi bàn chẳng khác nào móc túi lấy tiền của người khác cả.
edu,You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion,Thầy phải cho em điểm qua môn thôi. Em đã dành 150 tiếng cho dự án đó và bỏ lỡ mọi bữa tiệc trong học kỳ này rồi.
edu,"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church.",faulty generalization,"Một nghiên cứu gần đây cho thấy việc đi nhà thờ có liên quan tích cực đến độ bền của hôn nhân, nghĩa là những cặp đôi đi nhà thờ cùng nhau thường xuyên hơn thì có xu hướng gắn bó với nhau lâu hơn. Điều này thực sự không có gì đáng ngạc nhiên nếu xét đến quan điểm chung về ly hôn trong tôn giáo. Tuy nhiên, điều này không có nghĩa là bất kỳ cặp đôi nào không đi nhà thờ cũng sẽ có khả năng ly hôn cao hơn cặp đôi có đi nhà thờ."
edu,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,Lập luận vòng quanh xảy ra khi một người đưa ra một lý lẽ mà trong đó cả tiền đề và kết luận đều phải dựa vào tính đúng đắn của nhau.
edu,AttP 1: Jenny & Bert's Economy Conversation,ad populum,Tranh luận 1: Cuộc hội thoại kinh tế của Jenny và Bert
edu,Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization,Nếu cho phép hôn nhân đồng giới thì chúng ta sẽ sớm tiến tới đa thê và thú tính thôi.
edu,"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent...""",fallacy of relevance,Người điều phối: 'Ông sẽ làm gì để giải quyết khủng hoảng kinh tế?' Ứng viên: 'Quan trọng là phải tập trung vào nguyên nhân gốc rễ. Còn đối thủ của tôi thì...'
edu,"""I used to have that haircut. Then my mom got a job.""",ad hominem,"Hồi trước tôi cũng để kiểu tóc đó, xong rồi mẹ tôi đi làm."
edu,"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!",ad hominem,Đối thủ của tôi cho rằng giảm thuế là ý hay – nghe từ một người mỗi tối ăn hết cả hộp kem Ben & Jerry thì tin sao được!
edu,"All useless laws, such as Reform Bill 13, should be repealed.",circular reasoning,Tất cả các đạo luật vô ích như Dự luật Cải cách 13 đều cần phải bị bãi bỏ.
edu,"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.
",intentional,FlatSam: Lẽ thường cho thấy nếu Trái đất hình cầu thì người ở dưới đáy phải rơi ra ngoài chứ. ReasonEric: Tôi không nghĩ bạn có tư cách để nhắc đến 'lẽ thường' khi bạn rõ ràng là không có nó.
edu,I work out in the morning because it worked for my friend.,faulty generalization,Tôi tập thể dục buổi sáng vì cách đó đã hiệu quả với bạn tôi.
edu,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",false causality,"Vắc-xin cúm ra mắt hằng năm trước kỳ nghỉ lễ, đúng lúc mọi người đổ xô đi mua sắm. Vì thế, các doanh nghiệp đang âm thầm dùng vắc-xin cúm như một thiết bị kiểm soát tâm trí để thúc đẩy tiêu dùng dịp lễ."
edu,"I am committed to preserving traditional marriage, the union of one man and one woman.",fallacy of credibility,"Tôi cam kết bảo vệ hôn nhân truyền thống, là sự kết hợp giữa một người đàn ông và một người phụ nữ."
edu,"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.

Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",faulty generalization,"John: Chúng ta phải phản đối mọi nỗ lực đăng ký súng đạn. Quy định này chính là bước đầu dẫn đến việc tịch thu toàn bộ vũ khí và tước bỏ quyền sở hữu vũ khí hợp hiến của chúng ta.

Ted: Thật nực cười. Xã hội đăng ký rất nhiều thứ như ô tô, trẻ sơ sinh, tàu thuyền, làn đường, nhưng có bao giờ những thứ đó bị tịch thu đâu."
edu,"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",ad hominem,"John nói rằng Kentucky sẽ thắng Florida, nhưng John thỉnh thoảng hay nói dối nên tôi cũng không chắc lắm."
edu,"A fallacy of relevance where someone rejects or criticizes another person’s view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the",ad hominem,"Một lỗi ngụy biện về sự liên quan khi một người bác bỏ hoặc chỉ trích quan điểm của người khác dựa trên đặc điểm cá nhân, xuất thân, ngoại hình hoặc các đặc điểm khác không liên quan đến vấn đề đang tranh luận."
edu,"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",fallacy of credibility,"Tự nhiên gây ra bệnh tật cho con người; vì vậy, can thiệp vào tự nhiên và dùng thuốc chữa bệnh cho người đau ốm là sai trái về mặt đạo đức."
edu,Having a television rating system is like being in prison.  Both infringe on one's rights.,faulty generalization,Việc áp dụng hệ thống xếp hạng truyền hình cũng giống như ở tù vậy. Cả hai đều xâm phạm quyền tự do cá nhân.
edu,“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,faulty generalization,Ở Sydney không có nhà hàng nào ra hồn cả; tôi đã thử hai quán và cả hai đều dở tệ.
edu,"I hear the rain falling outside my window; therefore, the sun is not shining.",fallacy of logic,"Tôi nghe tiếng mưa rơi bên ngoài cửa sổ; vì vậy, mặt trời không thể đang chiếu sáng được."
edu,"""I stay away from those gatherings because I don't want to be brainwashed.""",circular reasoning,Tôi tránh xa những buổi tụ tập đó vì tôi không muốn bị tẩy não.
edu,"If Mom didn't turn off the air conditioner, then clearly she must be too hot.",false dilemma,"Nếu mẹ không tắt điều hòa, thì rõ ràng là mẹ đang bị nóng quá rồi."
edu,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...",fallacy of relevance,"Mike: Ngoại tình là trái đạo đức, tại sao cậu lại làm thế?
Ken: Nhưng chính xác thì đạo đức là gì?
Mike: Đó là bộ quy tắc ứng xử được các nền văn hóa chia sẻ.
Ken: Nhưng ai là người tạo ra bộ quy tắc đó?..."
edu,"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,"Charlie: Việc đăng tải và chia sẻ nhạc bất hợp pháp đang làm tê liệt ngành công nghiệp âm nhạc. Bob: Bạn sai hoàn toàn rồi, ngành âm nhạc vẫn đang phát triển tốt đấy thôi. Tôi không thể tin là bạn lại nghĩ chính phủ được phép kiểm soát những gì tôi chia sẻ với “bạn bè” của mình. Chẳng ai muốn sống trong một thế giới mà tôi không thể cho bạn gái mượn một cuốn sách, cho bạn cùng phòng mượn iPod, hay chia sẻ một meme vui nhộn với những người theo dõi blog của mình."
edu,"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",faulty generalization,"“Chúng ta phải ngăn chặn việc họ cấm thơ ca. Một khi họ bắt đầu cấm một loại hình văn học, họ sẽ không bao giờ dừng lại. Rồi bạn xem, tiếp theo họ sẽ đốt sạch mọi cuốn sách cho mà xem!” Ammar khẳng định."
edu,"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city’s economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job.",fallacy of logic,"Thị trưởng: Trong nhiệm kỳ trước, tôi và đội ngũ đã dành rất nhiều thời gian tập trung vào kinh tế thành phố, và kết quả là tỷ lệ thất nghiệp đã đạt mức cao kỷ lục. Vậy nên rõ ràng bạn nên ủng hộ chiến dịch tái tranh cử của tôi nếu bạn là một trong những người vẫn đang tìm việc làm."
edu,"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don’t you think skateboards should be banned?",appeal to emotion,"Đôi khi bọn trẻ trượt ván rồi ngã, dẫn đến gãy tay hoặc chân. Rõ ràng, trượt ván là cực kỳ nguy hiểm. Bạn không nghĩ là nên cấm ván trượt sao?"
edu,Fortnite is the best game ever. Everyone is playing it!,ad populum,Fortnite là trò chơi hay nhất mọi thời đại. Ai ai cũng đang chơi nó cả!
edu,"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded.",faulty generalization,"Vài năm trước, một nhóm 10 nhà tâm lý học đã thành lập một chương trình đào tạo tâm lý. Mỗi nhà tâm lý học trong nhóm đều làm việc hiệu quả, chuyên nghiệp và có uy tín cao. Vậy nên chương trình đào tạo của họ chắc chắn phải hiệu quả, chuyên nghiệp và có uy tín cao."
edu,Don't listen to her advice about math. She doesn't even know how to tie her own shoes!,ad hominem,Đừng nghe lời khuyên về toán học của cô ta. Đến việc tự buộc dây giày cô ta còn chẳng biết nữa là!
edu,George Bush is a good communicator because he speaks effectively.,circular reasoning,George Bush là một người giao tiếp giỏi vì ông ấy nói chuyện rất hiệu quả.
edu,The Supreme Court has just flinched from its responsibility to stop the unjust jailing of two journalists―not charged with any wrongdoing―by a runaway prosecutor who will go to any lengths to use the government's contempt power to force them to betray their confidential sources.,appeal to emotion,"Tối cao Pháp viện vừa né tránh trách nhiệm trong việc ngăn chặn hành vi bỏ tù bất công đối với hai nhà báo – những người không hề phạm tội – bởi một công tố viên lạm quyền, kẻ sẵn sàng làm mọi cách để sử dụng quyền lực khinh thường tòa án của chính phủ nhằm ép buộc họ phản bội các nguồn tin mật của mình."
edu,You can either support our police or Black Lives Matter.,false dilemma,Bạn chỉ có thể chọn ủng hộ cảnh sát hoặc ủng hộ Black Lives Matter.
edu,"An abusive attack against someone making the argument, instead of the argument itself, is called a/an",ad hominem,Việc công kích cá nhân thay vì tập trung vào nội dung tranh luận được gọi là gì nhỉ?
edu,"Jon: Why should I bother exercising while my spouse is on vacation stuffing her face with food.
",appeal to emotion,Jon: Tại sao tôi phải tập thể dục trong khi vợ tôi đang đi nghỉ mát và ăn uống thả ga cơ chứ.
edu,"Speaker 1: I think the idea of a moral law requires the existence of a lawgiver (i.e. God).
Speaker 2: Of course you would say that. You’re a Christian. Why should we listen to you?",ad hominem,"Người nói 1: Tôi nghĩ khái niệm đạo đức đòi hỏi phải có một người đặt ra luật lệ (tức là Chúa).
Người nói 2: Tất nhiên là cậu phải nói thế rồi, vì cậu là người theo đạo mà. Tại sao chúng tôi phải nghe cậu?"
edu,The latest craze or fad; everyone has to have it.,ad populum,Cơn sốt hay trào lưu mới nhất; ai cũng phải có bằng được.
edu,Ms. Baker assigned me a lot of homework because she’s a witch!,ad hominem,Cô Baker giao cho tôi đống bài tập này vì cô ta là một mụ phù thủy!
edu,"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment.""",faulty generalization,"""Tôi không biết làm bài tập hình học tối nay; chắc tôi trượt môn này mất vì không làm nổi bài tập này."""
edu,"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""Speaking of exercise, have you ever played 'Just Dance'? What a great workout!""",fallacy of relevance,"CHỦ ĐỀ: Mọi người có nên để mèo ra ngoài không?
TRANH LUẬN: ""Mọi người nên để mèo ra ngoài. Việc đó giúp mèo tập thể dục nhiều hơn.""
""Nhắc đến tập thể dục, bạn đã chơi 'Just Dance' bao giờ chưa? Bài tập đó hay thật đấy!"""
edu,Three congressional representatives have had affairs. Members of Congress are adulterers.,faulty generalization,Ba nghị sĩ quốc hội đã ngoại tình. Vậy nên các thành viên Quốc hội đều là kẻ ngoại tình cả.
edu,"""Because everybody thinks this way, it must be right.""",ad populum,"""Vì ai cũng nghĩ như vậy nên điều đó chắc chắn là đúng."""
edu,That answer you just gave cannot be right because you are always so rude.,ad hominem,Câu trả lời của cậu vừa rồi không thể đúng được vì lúc nào cậu cũng thô lỗ như thế.
edu,I am voting for Smith for President because the rest of my family is voting for him.,ad populum,Tôi bầu cho Smith làm Tổng thống vì cả nhà tôi ai cũng bầu cho ông ấy.
edu,"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable.",ad hominem,"Jimmy Swaggart rao giảng đạo đức tình dục gắt gao nhưng chính ông ta lại ngoại tình với gái mại dâm khi đã kết hôn; vậy nên, ngoại tình là chuyện bình thường."
edu,"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?",faulty generalization,"Nếu tối nay bạn phá lệ ăn một cái bánh quy, ngày mai bạn sẽ muốn ăn 10 cái, rồi chẳng mấy chốc mà tăng lại đúng 15 cân đã giảm. Đây là ví dụ của loại ngụy biện nào?"
edu,"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”  I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion,"Đường dây điện gây ung thư. Tôi từng gặp một cậu bé bị ung thư sống cách đường dây điện 20 dặm, cậu nhìn vào mắt tôi và nói bằng chất giọng yếu ớt: “Xin hãy làm mọi cách để những đứa trẻ khác không phải chịu đựng nỗi đau như cháu”. Tôi kêu gọi mọi người bỏ phiếu cho dự luật dỡ bỏ toàn bộ đường dây điện để thay bằng lũ khỉ chạy trên máy tập."
edu,"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",faulty generalization,"Đừng bao giờ chơi cá cược! Một khi đã bắt đầu, bạn sẽ không thể dừng lại và rồi sẽ khánh kiệt cho xem."
edu,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,Lập luận vòng quanh xảy ra khi một người đưa ra lập luận mà cả tiền đề lẫn kết luận đều phải dựa vào tính đúng đắn của nhau.
edu,The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.,equivocation,Người viết hoặc người nói cố tình đánh lạc hướng khán giả bằng cách sử dụng một từ có nghĩa kép hoặc mơ hồ.
edu,"I lost my phone in the living room, so it will always be in the living room when it is lost.",circular reasoning,"Tôi làm mất điện thoại trong phòng khách, nên mỗi khi mất thì nó chắc chắn sẽ luôn ở trong phòng khách."
edu,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),faulty generalization,Ai cũng mê Post Malone và có thể kể tên ít nhất một bài hát của anh ấy! (Đây là ví dụ của...)
edu,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,faulty generalization,Tôi chẳng hiểu sao mọi người cứ kêu ca khó tìm việc trong thị trường này. Con gái tôi và tôi tìm việc dễ như chơi mà.
edu,This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.,ad hominem,"Lý thuyết này bắt nguồn từ một giấc mơ của nhà khoa học, thế nên nó chắc chắn là không đúng rồi."
edu,"Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history.",circular reasoning,"Nhờ vào sự yêu mến bền bỉ của nhân viên, Ella Watson chính là vị CEO được lòng người nhất trong lịch sử công ty chúng ta."
edu,"If you don’t like Lady Gaga, it’s because you hate women.",fallacy of extension,"Nếu bạn không thích Lady Gaga, nghĩa là bạn đang ghét phụ nữ đấy."
