topic,argument,key_point,stance,label
We should ban algorithmic trading,algorithmic trading can lead to sudden market shifts if all bots move at the same time and trigger other algorithms to trade the same way.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading cause massive stock market shifts and impacts on the economy, the practice should be banned",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading could lead to an economic crisis,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading could put traditional traders out of a job.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading does not contribute to the growth of society and is profiting without contributing so it should be banned.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading doesn't provide the necessary thought processes of someone paying attention to the trades,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading enables a more level playing field in the trading of shares.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading enables much faster trading to take place and saves too much time to ban it.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading gives certain individuals an unfair advantage.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading gives people an unfair advantage because they can trade so much more quickly and therefore it should be banned.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading gives some people an advantage while the rest are simply going to be the ones losing the most money.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading gives some people an unfair advantage,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading gives too much control to machines. humans are better placed to understand the intricacies of the markets.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading gives traders an unfair advantage,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading has been deemed responsible for crashes in the pound and the dow,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading has been responsible for several mini market collapses, since computer systems lack the human sensitivity to look outside the stream of meaningless numbers to a wider context.",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading has been responsible for some wild market fluctuations, damaging the confidence of investors.",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading has helped the trading industry due to the high level of accuracy that it provides, there is no human error","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,"algorithmic trading has its disadvantages which include system failure risks,network connectivity errors, time-lags between trade orders and execution and, most important of all, imperfect algorithms.",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading helps people trade with a smaller risk of financial losses.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,"algorithmic trading improves the cost efficiency of financial markets, allows for the streamlining of regular micro transactions such as dividend reinvestment schemes.","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading is a harmful practice that is to all intents and purposes gambling. it allows companies that are already to powerful to increase their grip on the financial markets.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading is a technological improvement on antiquated methods of trading and should be encouraged and improved.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading is a very precise way of trading.  it's very efficient and should be allowed.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading is cost effective because it is timely and accurate.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading is fast and efficient and better able to deal with data,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading is good for those large investments that have something in common.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,"algorithmic trading is inherently unfair, only those with the resources to use it can benefit.",algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading is just progrees in technology and a better way of doing business,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading is like gambling and it should be banned.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading is not available to all and hinders the vitality of all in a level playing field.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,"algorithmic trading is not available to everyone, causing an unfair advantage with high economic detriments.",algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading is one big risk because it's all ran by robots which require extensive knowledge to even create.  with that so many things can go wrong.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading is powered by ai that can be easily hacked, thus putting financial data at risk",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading is slow to respond to what is going on in the real world,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading is too easily corrupted. it's far too easy to hack. if hacked it could completely destroy the economy and individual people's lives. it's not secure enough.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading is unfair because traders with faster computers and better connections to the market will have an advantage over others.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading is unfair to investors who are trying to invest hard earned money as a second income,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading keeps emotions out of investing and results in more logical moves for the trader,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,"algorithmic trading leaves us vulnerable and fully dependent on technology, which can have issues of its own",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,"algorithmic trading makes it easier for poor people to get more money, all they need to do is come up with an algorithm that makes them more money","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading makes trading easier and faster and keeps the system flowing smoothly.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading may be an artificial manipulation of the market.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading may be used to hide insider information or other illegal forms of trading by obfuscating data.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading offers an unfair advantage to certain traders.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading optimize the efficiency and speed of order entry,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading produces erratic and unstable runs on stocks that disproportionately impact the vale of the market and should be banned.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading reduces operating costs so investors can get better profits,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading reduces transaction costs.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading removes human emotions out of trading and relies soley on numbers and facts which can minimize loses,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,"algorithmic trading removes the human element of common sense from trading patterns, which has caused many wild mini-crashes and market fluctuations.",algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading save traders time and should be encouraged not banned,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading should be banned as it does not allow for human intervention when unexpected events occur.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading should be banned because it gives some people an unfair advantage.,algorithmic trading gives an unfair advantage in the market,1,1
We should ban algorithmic trading,algorithmic trading should be prohibited because it is the absolute automation of commerce. it would open more passage to computers and would end the manual,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading should not be banned as it allows for more trading with fewer errors,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithmic trading stops people having control over their spending and therefore increases debt,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading will generate many jobs for programmers who design the new algorithmic machines.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0
We should ban algorithmic trading,algorithmic trading will put many stock brokers and analysts out of business.,algorithmic trading gives an unfair advantage in the market,1,0
We should ban algorithmic trading,algorithmic trading works quicker than people are able to do it,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban algorithmic trading,algorithms may not be 100% accurate and reflect the situation in the real market,algorithmic trading gives an unfair advantage in the market,1,0
The use of public defenders should be mandatory,all american citizens have the right to a public defense if they can not afford it,everyone using public defenders would equalize the criminal justice system.,1,0
We should adopt a zero-tolerance policy in schools,almost all schools already have zero tolerance policies and they clearly do not work. violence in schools is at an all time high. they clearly have no effect.,zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should ban algorithmic trading,alogorithmic trading adds too much volatility to the markets which should be based more on real valuations.,algorithmic trading gives an unfair advantage in the market,1,0
We should subsidize student loans,an education is very important nowadays and subsidizing student loans will help many students go to school,subsidizing student loans would encourage more to pursue higher education.,1,1
We should adopt a zero-tolerance policy in schools,any measure that contributes to less abuse in schools should be adopted without delay.,clear boundaries and expectations must be set to protect students.,1,1
Entrapment should be legalized,"any method that catches a criminal should be utilized, don't provide protections for them",entrapment should be legalized in order to catch pedophiles,1,0
Foster care brings more harm than good,as concluded by the california-based little hoover commission (1992) regarding children placed in foster care children can come to harmand even die while supposedly under the protection of foster care,foster care harms childrens wellbeing in a number of ways,1,1
We should ban algorithmic trading,automation means time gain and error minimization. ban algorithmic trade would be a step back at the technological level,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1
We should ban cosmetic surgery,banning cosmetic surgery does not make sense.  i can be very helpful to a persons psyche especially surgery's that may have been performed on burn or accident victims.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,banning cosmetic surgery is like banning freedom of speech.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1
We should ban cosmetic surgery,banning cosmetic surgery would save people a lot of money.,cosmetic surgery is an unnecessary health risk,1,0
We should subsidize student loans,"because of this practice, tuition has gone up far more than inflation and schools are getting too expensive.",student loans should be paid by the borrower like all other loans.,-1,0
The use of public defenders should be mandatory,being able to choose your own attorney to help determine your fate is vitally important if you have the means to do so.,imposing use of public defenders takes away a person's right to choose.,-1,1
We should ban cosmetic surgery,botched surgeries can lead people to feel even worse about themselves with little chance to completely repair the damage.,cosmetic surgery is an unnecessary health risk,1,0
We should adopt a zero-tolerance policy in schools,bullying is in every school in the united states and the bullies are getting off scott-free.    this is resulting in more and more school shootings and suicides from those bullied.,clear boundaries and expectations must be set to protect students.,1,1
We should adopt a zero-tolerance policy in schools,by adopting a zero-tolerance policy in schools we can cut bullying out since those who do it will be removed from the school.,clear boundaries and expectations must be set to protect students.,1,1
We should adopt a zero-tolerance policy in schools,"by adopting a zero-tolerance policy in schools, we can be certain that that particular student will not be able to influence other students.",clear boundaries and expectations must be set to protect students.,1,0
The use of public defenders should be mandatory,"by making it mandatory, the system would, effectively, be saying that everyone is equal and that representation quality is not based on ability to pay",everyone using public defenders would equalize the criminal justice system.,1,1
The use of public defenders should be mandatory,by making the use of public defenders mandatory you are giving everyone the same amount of fairness rather than the rich being able to afford better lawyers than the poor.,everyone using public defenders would equalize the criminal justice system.,1,1
We should subsidize student loans,by subsidizing student loans people would be able to put money back into the economy and it would have a positive effect for everyone,subsidizing student loans would encourage more to pursue higher education.,1,0
Entrapment should be legalized,by using entrapment law enforcement is only making it faster to arrest those who are already going to commit the crime therefore saving someone from being a victim.,entrapment should be legalized in order to catch pedophiles,1,0
We should end racial profiling,"certain races and ethnic groups commit more crimes than others, so it makes sense to scrutinize them more closely.",racial profiling helps to identify potential suspects,-1,0
We should adopt a zero-tolerance policy in schools,"children are losing their respect for authority at an alarming rate, this is the only way we can halt that decline",clear boundaries and expectations must be set to protect students.,1,0
Foster care brings more harm than good,children can be neglected because they are not guaranteed enough one on one interaction,foster care harms childrens wellbeing in a number of ways,1,0
Foster care brings more harm than good,children can be shuffled around from home to home and receive no stability.,foster care harms childrens wellbeing in a number of ways,1,1
Foster care brings more harm than good,children in foster care are often bullied by others in the foster family,foster care harms childrens wellbeing in a number of ways,1,1
Foster care brings more harm than good,children in foster care grow up in loving families that want children,children need to be placed in safe homes,-1,0
Foster care brings more harm than good,children in foster care have more compromised developmental outcomes than children who do not experience placement in foster care,foster care harms childrens wellbeing in a number of ways,1,1
Foster care brings more harm than good,children need to be with their parents and get individual attention. children can be neglected in foster care.,foster care harms childrens wellbeing in a number of ways,1,0
Foster care brings more harm than good,children put into foster care are often removed from situations that are hazardous.  the foster home offers them a place of safety and stability,children need to be placed in safe homes,-1,1
Foster care brings more harm than good,children should be allowed to stay with their parents foster care takes them away,foster care harms childrens wellbeing in a number of ways,1,0
Foster care brings more harm than good,children will be able to experience family and stability until they are old enough,children need to be placed in safe homes,-1,0
We should adopt a zero-tolerance policy in schools,"children will make mistakes, because they are not mature.  we have to allow some discretion in the hands of the administrators",zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should adopt a zero-tolerance policy in schools,children's brains are no fully developed yet and as such shouldn't have their lives ruined over small 'crimes' in school.,zero-tolerance policies in schools are too strict and unnecessary,-1,0
We should subsidize student loans,college is getting more and more expensive each year so students should be getting as much help as they need,subsidizing student loans would encourage more to pursue higher education.,1,0
We should end the use of economic sanctions,corrupt governments must be overthrown by their people and economic sanctions can help bring this about.,we should support economic sanctions to keep others from violating interests,-1,0
We should ban cosmetic surgery,"cosmetic surgery allows those hurt in accidents, or disformed in other ways,  feel better about themselves my regaining some of their natural looks.",cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery boosts people's self esteem.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can be addictive and people keep doing it until they look deformed.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery can be addictive and some people trasnform themselves into plastic dolls.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery can be essential for those with birth defects in order to live normally and with less suffering.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can be good for many things if it involves saving the life of the patient.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can be very dangerous and is not regulated as much as it needs to be.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery can cause health problems down the road,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery can cause people to get addicted to procedures that they don't need.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery can give a person confidence and help them overcome feelings of inadequacy,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can help a lot of people who have been disfigured or who have a poor body image,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can help patients feel better.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can help people that had facial injuries or birth defects to look more normal,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can help people with self esteem issues,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can help some people who are so consumed with their appearance that they let it affect their mental well being,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can help to relieve medical and mental health problems,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,"cosmetic surgery can improve a person's emotional state, due to raising self-esteem, which is important for their mental health.",cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery can lead to body problems with time passing. it's not a 100% safe treatment and will only endanger people life while not worthing more,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery can lead to damaged tissue in people body undergoing this treatment. this can lead to unforeseen problems that can lead to death,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,"cosmetic surgery can make a huge difference in how people feel about themselves, giving a higher quality of life.",cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,"cosmetic surgery can result in painful complications and health problems, is costly and fosters the damaging idea that image is of overriding importance.",cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery carries unnecessary risk and takes resources away from healing actual illnesses.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery causes unnecessary risks to the patient for a purely narcissistic procedure.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery has been a saving grace to people who have sustained serious injuries and need reconstructive cosmetic surgery.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery has been known to lead to deaths due to botched jobs. it should be banned so these deaths do not occur.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery has helped many people that had birth defects.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery helps burn and accident victims to heal and look more normal.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,"cosmetic surgery helps correct facial defects in children, giving them the chance at a normal life.",cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,"cosmetic surgery helps patients who have been burned by fires, etc.",cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,"cosmetic surgery is  putting people's lives at risk, so we should really ban it",cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,"cosmetic surgery is a decision that a doctor and a patient makes, and we should not infringe on their choice.",cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1
We should ban cosmetic surgery,"cosmetic surgery is a harmful, invasive and unnecessary procedure that in the future will be looked upon as a barbaric practice, the way we look back at victorian medical procedures.",cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is dangerous and addictive,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery is dangerous and has killed people in the past.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is dangerous and kills people every year.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is dangerous and should be banned.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,"cosmetic surgery is expensive, a waste of resources, and gives people, especially young women, an impossible standard to live up to.",cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,"cosmetic surgery is expensive, needless, and may give people a false sense of what is beautiful.",cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery is full of scam procedures that do nothing for the patient except drain their bank accounts.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery is helpful to those who have been disfigured due to injury regain their confidence by removing scars and improving the look of their damaged skin.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,"cosmetic surgery is known to be risky and detrimental to everybody in the long-term, particularly those that have a number of treatment",cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is needed for reconstructive surgery and is a necessary part of the process.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery is only for the wealthy and results in poor people feeling worse about themselves.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,"cosmetic surgery is risky, expensive  and create a society based on superficial looks.",cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is taking unnecessary risks.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is too dangerous and people should be who they are,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is too risky and unnecessary. it isn't needed to improve a health outcome therefore making it too risky for something completely unnecessary.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is unnecessary and dangerous.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is unnecessary and does not provide health benefits,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery is vital for people like burn victims to heal and feel more normal.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery it is a personal choice and no one has the right to deny them that,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1
We should ban cosmetic surgery,cosmetic surgery just increases the prevalence of body dysmorphia and leaves the poor with no access to such treatments. for these reasons it should be banned.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery leads to some people becoming disfigured when they are operated on by unskilled surgeons.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery makes people feel better about themselves.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery only changes the outer appearance of a person and doesn't deal with the emotional issues that make someone feel they are less perfect just as they are.,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery ought to be available to anyone who has a disfigurement,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery presents many health risks.,cosmetic surgery is an unnecessary health risk,1,1
We should ban cosmetic surgery,cosmetic surgery promotes unhealthy body image ideals,cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery provides an important resource for people who have been involved in accidents and helps to enable them to resume a normal life.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0
We should ban cosmetic surgery,cosmetic surgery should be allowed in a free enterprise system where people can act of their own free will in making that decision.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1
We should ban cosmetic surgery,"cosmetic surgery should be banned because a lot of people these days continuously get it, which can eventually lead to them having a mental disorder.",cosmetic surgery is an unnecessary health risk,1,0
We should ban cosmetic surgery,cosmetic surgery should be banned because it is really not a necessary type of surgery.,cosmetic surgery is an unnecessary health risk,1,1
